Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
A Dinda,Ashok Dinda,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
A Milne,Adam Milne,Bowler, Right Handed Bat ,Right ,Fast,Pace,New Zealand,1
A Mishra,Amit Mishra,Bowler, Right Handed Bat ,Left,Leg Break,Spin,India,0
A Mithun,Abhimanyu Mithun,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
A Nehra,Ashish Nehra,Bowler, Right Handed Bat ,Left,Medium,Pace,India,0
A Nortje,Anrich Nortje,Bowler, Right Handed Bat ,Right ,Fast,Pace,South Africa,1
A Rajpoot,Ankit Rajpoot,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
A Sharma,Ankit Sharma,Bowler, Left Handed Bat ,Left,Off Break,Spin,India,0
A Singh,Amit Singh,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
A Tye,Andrew Tye,Bowler, Right Handed Bat ,Right ,Medium,Pace,Australia,1
A Zampa,Adam Zampa,Bowler, Right Handed Bat ,Left,Leg Break,Spin,Australia,1
Anureet Singh,Anureet Singh,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
Avesh Khan,Avesh khan,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
B Bhatt,Bhargav Bhatt,Bowler, Left Handed Bat ,Left,Off Break,Spin,India,0
B Sharma,Bipul Sharma,Bowler, Left Handed Bat ,Left,Off Break,Spin,India,0
B Sran,Barinder Sran,Bowler, Left Handed Bat ,Left,Medium,Pace,India,0
B Stanlake,Billy Stanlake,Bowler, Left Handed Bat ,Right ,Fast,Pace,Australia,1
B Thampi,Basil Thampi,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
C Jordan,Chris Jordan,Bowler, Right Handed Bat ,Right ,Fast,Pace,England,1
C Sakariya,Chetan Sakariya,Bowler, Left Handed Bat ,Left,Fast,Pace,India,0
D Chahar,Deepak Chahar,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
D Kulkarni,Dhawal Kulkarni,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
