,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
1953,James Faulkner,2011,,Pune Warriors India,"46,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2011-Pune Warriors India,Pace
1952,James Faulkner,2012,,Punjab Kings,"15,08,100",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2012-Punjab Kings,Pace
1951,James Faulkner,2013,,Rajasthan Royals,"2,13,08,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2013-Rajasthan Royals,Pace
1950,James Faulkner,2014,,Rajasthan Royals,"9,50,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2014-Rajasthan Royals,Pace
1949,James Faulkner,2015,,Rajasthan Royals,"9,50,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2015-Rajasthan Royals,Pace
1948,James Faulkner,2016,,Gujarat Lions,"5,10,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2016-Gujarat Lions,Pace
1947,James Faulkner,2017,,Gujarat Lions,"7,50,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2017-Gujarat Lions,Pace
3084,Prithvi Raj Yara,2019,,Kolkata Knight Riders,"20,00,000",Bowler,Left Handed Bat,Left Arm Bowler,India,Prithvi Raj Yara,2019-Kolkata Knight Riders,Pace
3083,Harry Gurney,2019,,Kolkata Knight Riders,"75,00,000",Bowler,Right Handed Bat,Left Arm Fast Medium Bowler,England,Harry Gurney,2019-Kolkata Knight Riders,Pace
3082,Harry Gurney,2020,Ruled,Kolkata Knight Riders,"75,00,000",Bowler,Right Handed Bat,Left Arm Fast Medium Bowler,England,Harry Gurney,2020-Kolkata Knight Riders,Pace
3242,Yash Dayal,2022,,Gujarat Titans,"3,20,00,000",Bowler,Left Handed Bat,Left arm medium fast,India,Yash Dayal,2022-Gujarat Titans,Pace
3291,Kumar Kartikeya Singh,2022,,Mumbai Indians,"20,00,000",Bowler,Right Handed Bat,Left Arm Orthodox,India,Kumar Kartikeya Singh,2022-Mumbai Indians,Spin
3288,Noor Ahmad,2022,,Gujarat Titans,"30,00,000",Bowler,Right Handed Bat,Left arm wrist spin,Afghanistan,Noor Ahmad,2022-Gujarat Titans,Spin
3255,Aneeshwar Gautam,2022,,Royal Challengers Bangalore,"20,00,000",Bowler,Left Handed Bat,left-arm,India,Aneeshwar Gautam,2022-Royal Challengers Bangalore,Pace
2085,Kuldeep Yadav,2012,,Mumbai Indians,"10,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2012-Mumbai Indians,Spin
2084,Kuldeep Yadav,2014,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2014-Kolkata Knight Riders,Spin
2083,Kuldeep Yadav,2015,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2015-Kolkata Knight Riders,Spin
2082,Kuldeep Yadav,2016,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2016-Kolkata Knight Riders,Spin
2081,Kuldeep Yadav,2017,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2017-Kolkata Knight Riders,Spin
2080,Kuldeep Yadav,2018,,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2018-Kolkata Knight Riders,Spin
2079,Kuldeep Yadav,2019,Retain,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2019-Kolkata Knight Riders,Spin
2078,Kuldeep Yadav,2020,Retain,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2020-Kolkata Knight Riders,Spin
2077,Kuldeep Yadav,2021,,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2021-Kolkata Knight Riders,Spin
2076,Kuldeep Yadav,2022,,Delhi Capitals,"2,00,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2022-Delhi Capitals,Spin
2096,Mitchell Johnson,2012,,Mumbai Indians,"1,50,81,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2012-Mumbai Indians,Pace
2095,Mitchell Johnson,2013,,Mumbai Indians,"1,59,81,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2013-Mumbai Indians,Pace
2094,Mitchell Johnson,2014,,Punjab Kings,"6,50,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2014-Punjab Kings,Pace
2485,Mitchell Starc,2014,,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2014-Royal Challengers Bangalore,Pace
2093,Mitchell Johnson,2015,,Punjab Kings,"6,50,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2015-Punjab Kings,Pace
2484,Mitchell Starc,2015,,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2015-Royal Challengers Bangalore,Pace
2092,Mitchell Johnson,2016,,Punjab Kings,"6,50,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2016-Punjab Kings,Pace
2483,Mitchell Starc,2016,Injured,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2016-Royal Challengers Bangalore,Pace
2091,Mitchell Johnson,2017,,Mumbai Indians,"2,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2017-Mumbai Indians,Pace
2482,Mitchell Starc,2017,,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2017-Royal Challengers Bangalore,Pace
2090,Mitchell Johnson,2018,,Kolkata Knight Riders,"2,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2018-Kolkata Knight Riders,Pace
