Team Flag,sf_flag
2008-Chennai Super Kings,1
2008-Deccan Chargers,0
2008-Delhi Daredevils,1
2008-Kings XI Punjab,1
2008-Kolkata Knight Riders,0
2008-Mumbai Indians,0
2008-Rajasthan Royals,1
2008-Royal Challengers Bangalore,0
2009-Chennai Super Kings,1
2009-Deccan Chargers,1
2009-Delhi Daredevils,1
2009-Kings XI Punjab,0
2009-Kolkata Knight Riders,0
2009-Mumbai Indians,0
2009-Rajasthan Royals,0
2009-Royal Challengers Bangalore,1
2010-Chennai Super Kings,1
2010-Deccan Chargers,1
2010-Delhi Daredevils,0
2010-Kings XI Punjab,0
2010-Kolkata Knight Riders,0
2010-Mumbai Indians,1
2010-Rajasthan Royals,0
2010-Royal Challengers Bangalore,1
2011-Chennai Super Kings,1
2011-Deccan Chargers,0
2011-Delhi Daredevils,0
2011-Kings XI Punjab,0
2011-Kochi Tuskers Kerala,0
2011-Kolkata Knight Riders,1
2011-Mumbai Indians,1
2011-Pune Warriors,0
2011-Rajasthan Royals,0
2011-Royal Challengers Bangalore,1
2012-Chennai Super Kings,1
2012-Deccan Chargers,0
2012-Delhi Daredevils,1
2012-Kings XI Punjab,0
2012-Kolkata Knight Riders,1
2012-Mumbai Indians,1
2012-Pune Warriors,0
2012-Rajasthan Royals,0
2012-Royal Challengers Bangalore,0
2013-Chennai Super Kings,1
2013-Delhi Daredevils,0
2013-Kings XI Punjab,0
2013-Kolkata Knight Riders,0
2013-Mumbai Indians,1
2013-Pune Warriors,0
2013-Rajasthan Royals,1
2013-Royal Challengers Bangalore,0
2013-Sunrisers Hyderabad,1
2014-Chennai Super Kings,1
2014-Delhi Daredevils,0
2014-Kings XI Punjab,1
2014-Kolkata Knight Riders,1
2014-Mumbai Indians,1
2014-Rajasthan Royals,0
2014-Royal Challengers Bangalore,0
2014-Sunrisers Hyderabad,0
2015-Chennai Super Kings,1
2015-Delhi Daredevils,0
2015-Kings XI Punjab,0
2015-Kolkata Knight Riders,0
2015-Mumbai Indians,1
2015-Rajasthan Royals,1
2015-Royal Challengers Bangalore,1
2015-Sunrisers Hyderabad,0
2016-Delhi Daredevils,0
2016-Gujarat Lions,1
2016-Kings XI Punjab,0
2016-Kolkata Knight Riders,1
2016-Mumbai Indians,0
2016-Rising Pune Supergiants,0
2016-Royal Challengers Bangalore,1
2016-Sunrisers Hyderabad,1
2017-Delhi Daredevils,0
2017-Gujarat Lions,0
2017-Kings XI Punjab,0
2017-Kolkata Knight Riders,1
2017-Mumbai Indians,1
2017-Rising Pune Supergiant,1
2017-Royal Challengers Bangalore,0
2017-Sunrisers Hyderabad,1
2018-Chennai Super Kings,1
2018-Delhi Daredevils,0
2018-Kings XI Punjab,0
2018-Kolkata Knight Riders,1
2018-Mumbai Indians,0
2018-Rajasthan Royals,1
2018-Royal Challengers Bangalore,0
2018-Sunrisers Hyderabad,1
2019-Chennai Super Kings,1
2019-Delhi Capitals,1
2019-Kings XI Punjab,0
2019-Kolkata Knight Riders,0
2019-Mumbai Indians,1
2019-Rajasthan Royals,0
2019-Royal Challengers Bangalore,0
2019-Sunrisers Hyderabad,1
2020-Chennai Super Kings,0
2020-Delhi Capitals,1
2020-Kings XI Punjab,0
2020-Kolkata Knight Riders,0
2020-Mumbai Indians,1
2020-Rajasthan Royals,0
2020-Royal Challengers Bangalore,1
2020-Sunrisers Hyderabad,1
2021-Mumbai Indians,0
2021-Royal Challengers Bangalore,1
2021-Chennai Super Kings,1
2021-Delhi Capitals,1
2021-Kolkata Knight Riders,1
2021-Sunrisers Hyderabad,0
2021-Punjab Kings,0
2021-Rajasthan Royals,0
2022-Chennai Super Kings,0
2022-Kolkata Knight Riders,0
2022-Mumbai Indians,0
2022-Delhi Capitals,0
2022-Royal Challengers Bangalore,1
2022-Punjab Kings,0
2022-Lucknow Super Giants,1
2022-Gujarat Titans,1
2022-Rajasthan Royals,1
2022-Sunrisers Hyderabad,0
